datetime,open,high,low,close
2025-08-14 22:00:00,3345.32,3347.49,3335.01,3339.7
2025-08-14 23:00:00,3339.69,3343.41,3335,3338.09
2025-08-15 00:00:00,3338.09,3339.01,3330,3334.8
2025-08-15 01:00:00,3334.81,3336.8,3330.7,3335.01
2025-08-15 02:00:00,3335.01,3335.61,3324.39,3328.63
2025-08-15 03:00:00,3328.59,3333.26,3327.16,3332.43
2025-08-15 04:00:00,3332.43,3333.67,3331,3333.37
2025-08-15 05:00:00,3333.37,3334.07,3331.58,3331.59
2025-08-15 06:00:00,3331.59,3331.59,3330,3330.23
2025-08-15 07:00:00,3330.23,3330.54,3326.01,3327.87
2025-08-15 08:00:00,3327.83,3329.86,3326.67,3326.67
2025-08-15 09:00:00,3326.68,3329.82,3326.67,3329.67
2025-08-15 10:00:00,3329.67,3329.75,3327.01,3329.4
2025-08-15 11:00:00,3329.4,3333.46,3328.12,3333.46
2025-08-15 12:00:00,3333.46,3333.51,3330.23,3332.59
2025-08-15 13:00:00,3332.6,3335.5,3332.59,3335.5
2025-08-15 14:00:00,3335.5,3338,3335.49,3337.11
2025-08-15 15:00:00,3337.11,3339.62,3335.34,3337.36
2025-08-15 16:00:00,3337.36,3337.36,3334.08,3334.84
2025-08-15 17:00:00,3334.83,3339.48,3334.74,3339.2
2025-08-15 18:00:00,3339.43,3341.09,3334.03,3336.06
2025-08-15 19:00:00,3335.88,3339.22,3334.01,3337.7
2025-08-15 20:00:00,3337.7,3338.48,3333.13,3333.17
2025-08-15 21:00:00,3333.16,3340.03,3332.88,3338.87
2025-08-15 22:00:00,3338.73,3338.73,3330.13,3336.66
2025-08-15 23:00:00,3336.82,3339.51,3329.72,3330.81
2025-08-16 00:00:00,3330.81,3335.8,3330.31,3335.15
2025-08-16 01:00:00,3335.15,3336.94,3333.35,3333.4
2025-08-16 02:00:00,3333.4,3333.41,3328.2,3329.38
2025-08-16 03:00:00,3329.38,3331.44,3328.9,3329.54
2025-08-16 04:00:00,3329.62,3333.9,3329.55,3330.93
2025-08-16 05:00:00,3330.93,3332.44,3329.87,3331.84
2025-08-16 06:00:00,3331.84,3331.99,3329.17,3329.36
2025-08-16 07:00:00,3329.35,3332.51,3328.97,3330.15
2025-08-16 08:00:00,3330.15,3335,3328.96,3334.09
2025-08-16 09:00:00,3334.08,3334.08,3330,3330.31
2025-08-16 10:00:00,3330.3,3334,3330.3,3332.28
2025-08-16 11:00:00,3332.28,3332.41,3331.2,3331.7
2025-08-16 12:00:00,3331.74,3336.01,3331.74,3333.89
2025-08-16 13:00:00,3333.88,3334.88,3332.25,3332.28
2025-08-16 14:00:00,3332.26,3333.36,3331.41,3333.32
2025-08-16 15:00:00,3333.31,3334.97,3332.98,3333.68
2025-08-16 16:00:00,3333.61,3334.64,3332.28,3333.54
2025-08-16 17:00:00,3333.79,3333.83,3333.44,3333.8
2025-08-16 18:00:00,3333.8,3333.8,3327.21,3330.01
2025-08-16 19:00:00,3330,3331.11,3330,3330.95
2025-08-16 20:00:00,3330.95,3331.05,3328.81,3328.88
2025-08-16 21:00:00,3328.88,3329.87,3328.87,3329.03
2025-08-16 22:00:00,3329.02,3329.73,3328.84,3328.85
2025-08-16 23:00:00,3328.85,3331.25,3327.95,3331.25
2025-08-18 07:00:00,3330.09,3330.78,3330.09,3330.78
2025-08-18 08:00:00,3330.79,3330.79,3328.06,3329.1
2025-08-18 09:00:00,3329.1,3329.11,3322,3323.69
2025-08-18 10:00:00,3323.7,3337.86,3323.7,3333.98
2025-08-18 11:00:00,3333.98,3339.56,3333.74,3339.37
2025-08-18 12:00:00,3339.37,3339.6,3333.4,3334.35
2025-08-18 13:00:00,3334.35,3342.46,3334.35,3340.01
2025-08-18 14:00:00,3340.01,3353.64,3340.01,3350.79
2025-08-18 15:00:00,3350.79,3380,3341.67,3345.25
2025-08-18 16:00:00,3345.24,3349.89,3341.69,3346.01
2025-08-18 17:00:00,3346.44,3350.94,3343.05,3344.16
2025-08-18 18:00:00,3344.26,3348.29,3340.39,3346.35
2025-08-18 19:00:00,3346.35,3353.2,3342.09,3344.87
2025-08-18 20:00:00,3344.88,3345.89,3342.77,3343.71
2025-08-18 21:00:00,3343.7,3344.57,3342,3342
2025-08-18 22:00:00,3342,3347.13,3339.57,3339.64
2025-08-18 23:00:00,3339.64,3339.64,3333.47,3334.04
2025-08-19 00:00:00,3334.05,3335.06,3331,3331.66
2025-08-19 01:00:00,3332.16,3334.17,3331.39,3333.28
2025-08-19 02:00:00,3333.27,3333.27,3328.25,3332.7
2025-08-19 03:00:00,3332.76,3333.14,3326.63,3330.76
2025-08-19 04:00:00,3330.71,3330.75,3328.76,3330.75
2025-08-19 05:00:00,3330.75,3331.6,3329.87,3331.6
2025-08-19 06:00:00,3331.55,3332.4,3331.35,3331.75
2025-08-19 07:00:00,3331.76,3336.57,3331.76,3335.55
2025-08-19 08:00:00,3335.4,3335.4,3331.87,3331.92
2025-08-19 09:00:00,3331.82,3333.07,3330.47,3330.97
2025-08-19 10:00:00,3330.96,3337.46,3326.51,3332.7
2025-08-19 11:00:00,3332.7,3334.14,3330.23,3331.72
2025-08-19 12:00:00,3331.95,3336.04,3329.25,3336.04
2025-08-19 13:00:00,3336.04,3337.98,3332.62,3335.35
2025-08-19 14:00:00,3335.35,3335.35,3331.51,3334.29
2025-08-19 15:00:00,3334.3,3337.96,3334.3,3335.3
2025-08-19 16:00:00,3335.22,3336.02,3335.1,3335.1
2025-08-19 17:00:00,3335.1,3337.75,3335.1,3336.16
2025-08-19 18:00:00,3336.17,3337.03,3332.4,3335.08
2025-08-19 19:00:00,3335.08,3337.58,3332.56,3333.77
2025-08-19 20:00:00,3334.12,3339.95,3334.12,3336.84
2025-08-19 21:00:00,3336.86,3337.85,3333.54,3334.81
2025-08-19 22:00:00,3334.71,3336.11,3331.73,3331.73
2025-08-19 23:00:00,3331.7,3342.06,3324.59,3331.35
2025-08-20 00:00:00,3331.37,3333.02,3320.34,3321.86
2025-08-20 01:00:00,3321.86,3323.39,3317,3319.32
2025-08-20 02:00:00,3319.33,3321.54,3317,3317
2025-08-20 03:00:00,3317,3317.65,3315.05,3317.47
2025-08-20 04:00:00,3317.46,3318.79,3316.23,3317.05
2025-08-20 05:00:00,3317.04,3317.24,3308.01,3314.35
2025-08-20 06:00:00,3314.35,3317.24,3313.67,3314.82
2025-08-20 07:00:00,3314.84,3315.52,3314.7,3315.33
2025-08-20 08:00:00,3315.33,3316.56,3314.65,3316.55
2025-08-20 09:00:00,3316.55,3316.7,3307.58,3312.7
2025-08-20 10:00:00,3312.71,3314.29,3311.78,3312.4
2025-08-20 11:00:00,3312.38,3316.2,3307.23,3312.75
2025-08-20 12:00:00,3312.75,3315.41,3301.77,3308.67
2025-08-20 13:00:00,3308.68,3310.19,3307.36,3307.44
2025-08-20 14:00:00,3307.36,3313.51,3307.32,3312.38
2025-08-20 15:00:00,3312.47,3315.38,3312,3315.38
2025-08-20 16:00:00,3315.38,3318.32,3315.09,3316.58
2025-08-20 17:00:00,3316.58,3319.11,3315.62,3318.06
2025-08-20 18:00:00,3318.05,3320.69,3314.41,3319.6
2025-08-20 19:00:00,3319.65,3320.69,3317.89,3317.89
2025-08-20 20:00:00,3317.9,3318,3317.08,3317.87
2025-08-20 21:00:00,3317.88,3324.23,3317.88,3324.18
2025-08-20 22:00:00,3324.18,3333.78,3324.02,3333.76
2025-08-20 23:00:00,3333.75,3336.17,3330.47,3334.43
2025-08-21 00:00:00,3334.19,3338.13,3330.84,3338.13
2025-08-21 01:00:00,3338.13,3338.19,3331,3331.01
2025-08-21 02:00:00,3331.01,3337.14,3331,3334.26
2025-08-21 03:00:00,3334.27,3336.98,3334.27,3335.97
2025-08-21 04:00:00,3335.97,3337.19,3334,3335.74
2025-08-21 05:00:00,3335.74,3338.62,3334,3338.62
2025-08-21 06:00:00,3338.63,3339.91,3337.79,3339.88
2025-08-21 07:00:00,3339.88,3341.85,3339.79,3341.84
2025-08-21 08:00:00,3341.85,3342.56,3340.8,3340.8
2025-08-21 09:00:00,3340.82,3340.82,3339.87,3339.92
2025-08-21 10:00:00,3339.92,3339.93,3336.56,3336.56
2025-08-21 11:00:00,3336.57,3339.15,3335.59,3336.87
2025-08-21 12:00:00,3336.87,3337.25,3335.31,3337.15
2025-08-21 13:00:00,3337.14,3337.15,3334.32,3334.33
2025-08-21 14:00:00,3334.32,3334.99,3333,3333.12
2025-08-21 15:00:00,3333.13,3334.45,3332,3333.08
2025-08-21 16:00:00,3333.08,3333.08,3330,3330.01
2025-08-21 17:00:00,3330.01,3334.78,3330,3334.36
2025-08-21 18:00:00,3334.36,3335.58,3334.35,3335.29
2025-08-21 19:00:00,3335.26,3336.28,3334.84,3336.07
2025-08-21 20:00:00,3336.32,3336.32,3318.25,3323.96
2025-08-21 21:00:00,3324.09,3328.22,3321.76,3327.65
2025-08-21 22:00:00,3327.66,3336.25,3327.65,3333.72
2025-08-21 23:00:00,3333.73,3338.1,3329.4,3331.62
2025-08-22 00:00:00,3331.62,3338.38,3331.62,3335.71
2025-08-22 01:00:00,3335.71,3337.84,3331,3335.84
2025-08-22 02:00:00,3335.84,3336.25,3331.99,3332
2025-08-22 03:00:00,3332,3334,3331.52,3331.74
2025-08-22 04:00:00,3331.75,3332.85,3331.44,3332.81
2025-08-22 05:00:00,3332.81,3334,3331,3332.07
2025-08-22 06:00:00,3332.08,3332.5,3331.11,3332.14
2025-08-22 07:00:00,3332.13,3335.22,3330.54,3335.22
2025-08-22 08:00:00,3335.27,3335.28,3331.97,3333.31
2025-08-22 09:00:00,3333.31,3333.32,3331.35,3331.5
2025-08-22 10:00:00,3331.5,3333,3330.76,3332.82
2025-08-22 11:00:00,3332.82,3333.16,3329.33,3329.35
2025-08-22 12:00:00,3329.34,3331.29,3329.15,3329.16
